,COVID-19 doses (daily),Daily new confirmed deaths due to COVID-19
1638,117168.0,3219929.5
1639,68170.0,3219929.5
1640,74482.0,3219929.5
1641,48498.0,3219929.5
1642,166039.0,3219929.5
1643,194049.0,3219929.5
1644,238477.0,3219929.5
1645,236007.0,3219929.5
1646,240443.0,3219929.5
1647,92958.0,3219929.5
1648,48319.0,3219929.5
1649,181850.0,3219929.5
1650,186116.0,3219929.5
1651,171725.0,3219929.5
1652,151139.0,3219929.5
1653,123750.0,3219929.5
1654,45730.0,3219929.5
1655,19907.0,3219929.5
1656,90511.0,3219929.5
1657,122765.0,3219929.5
1658,174014.0,3219929.5
1659,178244.0,3219929.5
1660,194606.0,3219929.5
1661,92259.0,3219929.5
1662,49323.0,3219929.5
1663,172165.0,3219929.5
1664,153783.0,3219929.5
1665,159060.0,3219929.5
1666,156350.0,3219929.5
1667,114995.0,3219929.5
1668,20313.0,3219929.5
1669,40181.0,3219929.5
1670,174772.0,3219929.5
1671,232104.0,3219929.5
1672,245078.0,3219929.5
1673,202902.0,3219929.5
1674,205435.0,3219929.5
1675,74292.0,3219929.5
1676,18698.0,3219929.5
1677,141730.0,3219929.5
1678,140511.0,3219929.5
1679,197681.0,3219929.5
1680,192199.0,3219929.5
1681,196582.0,3219929.5
1682,95119.0,3219929.5
1683,67608.0,3219929.5
1684,187001.0,3219929.5
1685,198309.0,3219929.5
1686,167791.0,3219929.5
1687,182664.0,3219929.5
1688,177326.0,3219929.5
1689,100469.0,3219929.5
1690,45278.0,3219929.5
1691,88398.0,3219929.5
1692,63440.0,3219929.5
1693,153168.0,3219929.5
1694,169481.0,3219929.5
1695,246178.0,3219929.5
1696,227540.0,3219929.5
1697,128899.0,3219929.5
1698,299122.0,3219929.5
1699,314999.0,3219929.5
1700,309458.0,3219929.5
1701,349753.0,3219929.5
1702,408307.0,3219929.5
1703,326888.0,3219929.5
1704,217416.0,3219929.5
1705,353304.0,3219929.5
1706,370014.0,3219929.5
1707,372443.0,3219929.5
1708,335156.0,3219929.5
1709,366882.0,3219929.5
1710,185169.0,3219929.5
1711,82702.0,3219929.5
1712,238124.0,3219929.5
1713,257924.0,3219929.5
1714,287220.0,3219929.5
1715,314474.0,3219929.5
1716,399416.0,3219929.5
1717,232642.0,3219929.5
1718,99225.0,3219929.5
1719,169759.0,3219929.5
1720,288003.0,3219929.5
1721,263252.0,3219929.5
1722,304603.0,3219929.5
1723,376902.0,3219929.5
1724,316382.0,3219929.5
1725,176290.0,3219929.5
1726,373177.0,3219929.5
1727,374556.0,3219929.5
1728,375879.0,3219929.5
1729,432368.0,3219929.5
1730,415752.0,3219929.5
1731,336732.0,3219929.5
1732,196573.0,3219929.5
1733,410040.0,3219929.5
1734,417030.0,3219929.5
1735,404552.0,3219929.5
1736,410662.0,3219929.5
1737,357701.0,3219929.5
1738,332076.0,3219929.5
1739,165561.0,2796870.0
1740,387337.0,3219929.5
1741,393724.0,3219929.5
1742,398506.0,3219929.5
1743,400118.0,3219929.5
1744,456523.0,3219929.5
1745,322748.0,3219929.5
1746,168272.0,2378440.5999999996
1747,418888.0,3219929.5
1748,448806.0,3219929.5
1749,420146.0,3219929.5
1750,388452.0,3219929.5
1751,408902.0,3219929.5
1752,237731.0,2818892.5
1753,133929.0,1805853.0
1754,407832.0,3219929.5
1755,428437.0,3219929.5
1756,460243.0,3219929.5
1757,425242.0,3219929.5
1758,427292.0,3219929.5
1759,274921.0,2686756.8
1760,167477.0,1761807.7999999998
1761,417400.0,3219929.5
1762,408338.0,3219929.5
1763,417698.0,3219929.5
1764,430662.0,3219929.5
1765,414254.0,3215299.4000000004
1766,278321.0,2488553.5
1767,161782.0,1739785.2
1768,391291.0,3219929.5
1769,370755.0,3219929.5
1770,412970.0,3219929.5
1771,392728.0,3219929.5
1772,417039.0,3017095.8
1773,256723.0,1211242.9
1774,162744.0,1079107.3
1775,191125.0,1475514.0
1776,439979.0,3219929.5
1777,435535.0,2929005.4
1778,426322.0,2510576.2
1779,436924.0,2378440.5999999996
1780,257392.0,1035062.1
1781,170123.0,1013039.5000000001
1782,408868.0,2554621.2
1783,449246.0,2312372.7
1784,426823.0,2136192.0
